epoch,step,stage,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,3735,4,3.420387380285914,0.33662022854791607,50.84003265644321,0.6435512545976482,2.5504940891884194,0.39730420944442396,15.525083180896399,0.43848927874451404,1
0,7470,2,2.858757828197964,0.37598810967816704,30.84823829949825,0.5275723511648165,2.194337066851164,0.41992209190241214,10.823694848751504,0.35102842188892774,2
0,11205,3,2.625205962682398,0.39341484428641993,23.67340700413497,0.4754502400812034,2.013349796096211,0.45173524177849295,8.9247556763282,0.32921291575383405,3
0,14940,4,2.4688383768361257,0.4083040537053757,19.73929131770956,0.44215580635533624,1.9289508655178556,0.46801085161498646,8.113557661338902,0.31488407751831937,4
0,18675,1,2.3447685765230672,0.4245532177302622,17.1679025324159,0.4163970385062894,1.759192888310263,0.5233205130902688,7.024014136608406,0.2875232997574485,5
0,22410,4,2.263585218839058,0.4364718572843576,15.445425442234658,0.39962957020950174,1.8122015574522186,0.5193350664654692,7.283651626145673,0.2736816988780957,5
1,26145,2,1.7606455227907967,0.5286253112796415,6.242958778251559,0.2984545704531836,1.7249938351429663,0.5402210916970278,6.728410768809516,0.2611295378320339,6
1,29880,1,1.7109169107158084,0.5366455264294365,5.960850253885744,0.2881150921895601,1.671613912901562,0.5497890195085827,6.580146463890156,0.254396902299223,7
1,33615,0,1.685717318043234,0.5408064938426739,5.857783620036747,0.2827917963384579,1.6767680989841212,0.547986941847472,6.8022836114546665,0.24075154115771336,7
1,37350,0,1.6739869125303533,0.5432162468182399,5.802056750710441,0.28036906607699236,1.6483204561867484,0.5484883614293355,6.603023001254357,0.2370133631322487,8
1,41085,1,1.6760447970442127,0.5437037107990925,5.805706654364682,0.2808784053531549,1.6710218743546876,0.5509808495251701,6.634682901535698,0.24695568802555184,8
1,44820,2,1.6845896467761021,0.5427172487917594,5.836046833131705,0.2827616392730426,1.6862016699406865,0.5523378643336233,6.484388684579358,0.25232622361579776,8
1,48555,5,1.697877463684652,0.5403008398983841,5.9015986128954525,0.2852299591842991,1.7292706862739895,0.541793920234236,6.737036300505714,0.256194800938196,8
2,52290,3,1.7100248123540887,0.5430455264592094,5.888663988107401,0.290469361536718,1.7006106785378503,0.5531307553098975,6.572377931313833,0.24752065505029708,8
2,56025,5,1.713464788585609,0.5424283392235818,5.902345387156879,0.2903062884056114,1.7003792357481136,0.5507004284658658,6.515212527173842,0.2526696199710908,8
2,59760,3,1.70121550138357,0.5454239105587948,5.832659222145042,0.2886156295196399,1.6790179383836568,0.5562494237982636,6.388356349269753,0.24395633604067632,8
2,63495,2,1.6852872619681514,0.5489798410654722,5.745913119234879,0.28602151209102,1.6369614685700196,0.5631758176294978,6.114569581448047,0.25592173335220375,9
2,67230,2,1.674029353876473,0.5513178291692851,5.679985088884801,0.2842362122268864,1.6315139962643,0.5657766440399862,6.159144098979131,0.24046514084824727,10
2,70965,2,1.6654720268786143,0.5533993417582861,5.632454455121383,0.2828407272083166,1.6158727249691816,0.5677978600626863,5.960330082667834,0.2560646621323247,11
2,74700,5,1.6686561214048419,0.552910461888561,5.64736170483464,0.28326014112409825,1.6763746875283556,0.5574598896755022,6.329442712626785,0.2505721747101586,11
3,78435,1,1.576994598071933,0.5704745684025426,5.19522921544355,0.26814850514017224,1.5855891537702693,0.5737896092205941,6.061806792992454,0.2256659681331465,12
3,82170,0,1.5567041991398909,0.5740398386725424,5.135788913534843,0.264260745004066,1.5600720350747797,0.5751474496906539,5.992649428932519,0.2260324845776606,13
3,85905,4,1.592537831857549,0.5677859711984392,5.297284739708569,0.27056385179422604,1.6609295997612354,0.5616555496275529,6.271444457842958,0.24588469859060896,13
3,89640,5,1.6127827186916035,0.5639030796154294,5.3915318852864695,0.2739438396758306,1.6787271892451585,0.558204664457793,6.425600875935294,0.24393298510423814,13
3,93375,4,1.6189673467700085,0.5634780953681973,5.412908950988608,0.27521908595881717,1.6473414160021382,0.5636244692705067,6.168778236288207,0.24343728956596167,13
3,97110,0,1.6035190864203923,0.5666396894857376,5.346799890301866,0.2725227368817323,1.5197897096975082,0.589624673335354,5.802656343364354,0.2176361855176,14
4,100845,4,1.6346778532564397,0.5615535168135896,5.443218603766029,0.2797244844377935,1.6543861894913068,0.5636767706953669,6.272349005204191,0.2382683422826085,14
4,104580,1,1.565971344445234,0.5745404629421578,5.126913177136786,0.26711763443509007,1.5649298820033681,0.5849712874217082,5.943735826102512,0.22241890723163432,14
4,108315,1,1.559673803854926,0.5761208435739723,5.1047931468751315,0.26585714007729044,1.5498728017194139,0.5856023331254369,5.79339875543576,0.2270253258240401,14
4,112050,5,1.5870526977505393,0.5707920966050736,5.230342898100851,0.2702532547302902,1.658885757719443,0.5635693024170481,6.288120756412567,0.23531576188009107,14
4,115785,5,1.600942020425402,0.5681503960298246,5.296733662387346,0.27251739308997786,1.6479725957280529,0.5648429554411392,6.19300531628686,0.24052589060706475,14
4,119520,1,1.5907071738824297,0.5702495619944898,5.250262714254278,0.2708790918496035,1.5545301551040487,0.583380088172814,5.846830835887536,0.221480948797003,14
4,123255,5,1.5999540929826788,0.5686256572124276,5.297163701854565,0.2723331736688182,1.6495767082993444,0.5643462320032419,6.172709434956645,0.244990499658408,14
5,126990,3,1.6061042261027132,0.568319231880248,5.280009802363619,0.2749478776506526,1.6228889249645964,0.5710921984881976,6.0335685627487115,0.23513439616312196,14
5,130725,0,1.5297815506060597,0.5837164435534129,4.984337624296757,0.2611256968182641,1.4917418975397252,0.5980880522817369,5.647971856208626,0.21155942310158418,15
5,134460,0,1.509352684152918,0.5890005915098078,4.900463059404557,0.25759730224303734,1.5004167065854113,0.5954042779229209,5.757606705958507,0.20947906145823822,15
5,138195,2,1.5227911743864935,0.5860307546864775,4.9414487933005145,0.26009536231078956,1.5923825373729616,0.5784040596752971,5.978092593213062,0.21987986413597668,15
5,141930,2,1.5331886821372422,0.5840020375810874,4.982070916037673,0.2619267574951229,1.5850470089485043,0.5805800941136855,5.922383349433305,0.2243522790330206,15
5,145665,3,1.5469090705167095,0.5811722978858898,5.040370034589888,0.26424275412810594,1.6083312291484313,0.57158203763769,5.877932818193428,0.2446429820461764,15
5,149400,1,1.5426814009522318,0.5819365874921739,5.019624991544583,0.2635312028670411,1.5368317210383309,0.5885238432254669,5.751569346763674,0.21464176859671055,15
6,153135,2,1.5473464131515902,0.5820044417440413,4.996280518681835,0.2655620461943151,1.57903968678641,0.5814217120562225,5.8762130133514585,0.22672205535844678,15
6,156870,1,1.528945752923091,0.5842821398761932,4.929191694988213,0.26212578354297106,1.526175736244356,0.5912330180834925,5.685563930022124,0.21424377611212442,15
6,160605,3,1.5490590383942315,0.5807229719033158,5.0172144215471635,0.2653928180798692,1.6056144440292313,0.5765270974001687,5.941899140650938,0.2285178602270134,15
6,164340,2,1.5463773455999275,0.5816798088465284,4.995709748075999,0.2648863882666646,1.556924993895466,0.5858746051907234,5.683090920414768,0.23034875919892045,15
6,168075,3,1.5527262041590615,0.580468465840821,5.022858352868109,0.2658735301186321,1.600994005015022,0.5774648263174166,5.9156371272786075,0.2278781141728366,15
6,171810,0,1.533485847413886,0.5845842835220831,4.948445149944507,0.2624633595187318,1.4605201629511189,0.6072963211491463,5.477081193409768,0.20167993158417938,16
7,175545,2,1.530428540638067,0.583942524758194,4.89451438644204,0.2633493904099872,1.565445740949462,0.5865236082787035,5.76703385792551,0.2194735362327028,16
7,179280,4,1.5620771757837066,0.5787333659632043,5.042010050799624,0.26832008320627565,1.6036022870391493,0.5765289106270775,5.896583228534129,0.23034242688482257,16
7,183015,0,1.4985180685548167,0.5925717381553226,4.78611633237843,0.25737037917718975,1.457931771931259,0.6085938702615864,5.4790010225747485,0.19524997794085527,17
7,186750,3,1.5181486604030803,0.5886323079459946,4.866857655016164,0.2605410521707116,1.5998718667403147,0.5809543837516867,5.967473823501031,0.21735394364203123,17
7,190485,4,1.5303425495615097,0.5860158735763313,4.9203596837382415,0.2624712999161721,1.6034039228949994,0.5789644886763298,5.957724787966234,0.22550361247027373,17
7,194220,1,1.518622050856995,0.5884135781174361,4.86744149935596,0.26047822278292576,1.4993589792562567,0.5997502511948243,5.550785288420173,0.2057301464975029,17
7,197955,3,1.5252041840992745,0.5871094168521788,4.897947409897562,0.26162217939464466,1.5942063276591327,0.582008084733871,5.920190616218133,0.21507109877089425,17
8,201690,1,1.4377468740241717,0.6042923077748342,4.484821638018696,0.24832768550460504,1.495013977556534,0.6002652990392792,5.546433676052305,0.2090229042966751,17
8,205425,5,1.5086949478438458,0.5897826307693028,4.785627481252112,0.25885003449174565,1.6079159228970856,0.5778721068125476,5.973121600175599,0.2191248967504598,17
8,209160,5,1.5305089501245286,0.5855444753328256,4.889669740635361,0.26214893714505244,1.5990874708426261,0.5796205087560387,5.879206705315361,0.22155225161441494,17
8,212895,3,1.5293005410673712,0.5857560277009991,4.879910049486282,0.26224627868712824,1.5796565581922946,0.5842422839576596,5.811101892688833,0.2155574753602069,17
8,216630,2,1.5236737210115545,0.5870981015025688,4.85747759853209,0.26132760288732954,1.528382207604422,0.5934004739897512,5.5163717479182575,0.21365951657645782,17
8,220365,0,1.495234049041199,0.5936603293647887,4.750690975847382,0.2566726997213056,1.419303511466169,0.6200877727617748,5.32710271664882,0.1899406043151229,18
8,224100,5,1.5043958396280388,0.5915981110826597,4.789899977008654,0.2579528856454211,1.5875747063794634,0.5819669403921942,5.823987156565124,0.21887298198910324,18
9,227835,0,1.3440414656333326,0.627161578854944,4.140929668329223,0.23330061447423728,1.4320596696469368,0.620169956681967,5.462585235609548,0.18065402641401343,18
9,231570,3,1.428062012968828,0.6080779085867954,4.456780242863585,0.24674784319929743,1.5687724786073902,0.5867624091561141,5.72787618409133,0.2154326036605304,18
9,235305,1,1.4217444392409295,0.6090060367924454,4.428330984637035,0.245699548496893,1.4779124772339536,0.6062088830139084,5.486659405702602,0.19469337894786015,18
9,239040,5,1.449027616692626,0.6033361984889004,4.5382672342859784,0.24961172282232125,1.5916683277858295,0.5837555668780193,5.8786265181544755,0.2096651235205979,18
9,242775,0,1.4240314377016812,0.6090176663695609,4.44008371787947,0.24558809481975594,1.4010929042128186,0.6244071524507219,5.180070415822318,0.18631065172719513,19
9,246510,4,1.437261751000029,0.606193410577011,4.488833752577486,0.247705432417091,1.5815269060484058,0.5886115645654357,5.8459194999973745,0.20515402772231578,19
10,250245,0,1.288071226331703,0.6395086354482935,3.8915057621139657,0.22717795720468364,1.4162829091969926,0.6252404648103158,5.358101865606536,0.17875285477113906,19
10,253980,4,1.4464918391424635,0.6043615562080192,4.507905542875475,0.25053142743369944,1.5657956631560075,0.5895436981797055,5.684423610363916,0.2098933093958845,19
10,257715,0,1.3788122178498194,0.6188102481878163,4.243425894354042,0.23993989446435893,1.4051033925978307,0.6283220450364904,5.333367603997446,0.17744956360279127,19
10,261450,5,1.4158894307665244,0.6104637528251858,4.386352874185845,0.24502091460327627,1.5825823502946137,0.5868287715722731,5.817882511042171,0.20463559878565163,19
10,265185,0,1.3859501702990757,0.617490636157816,4.270971502498311,0.24030063422930797,1.402040107310682,0.6317927895702267,5.296333811845458,0.17118194773455297,19
10,268920,1,1.380973374770141,0.6185641662416402,4.246284607103671,0.2392988258169486,1.4540090702081983,0.6153792377210956,5.312714240193645,0.18838410522703022,19
10,272655,5,1.399215959812306,0.6143078899087998,4.316988808481851,0.2419951742227471,1.5793115320003823,0.5887841312690694,5.801198117514988,0.20213521177974778,19
11,276390,2,1.408312817406479,0.610643065986832,4.307133468447754,0.2457229836108135,1.527461594384104,0.6026022199291647,5.6084106191948075,0.18957775366685756,19
11,280125,3,1.4336692307435508,0.6056724728371746,4.406645024895861,0.24873580929510372,1.5522338768210147,0.5936469910506393,5.610034153593581,0.19957676158180046,19
11,283860,0,1.3614892626377353,0.6230771059405761,4.146952525585915,0.23744450885304574,1.388787967798639,0.637626162949915,5.278651058461041,0.1663777999339662,20
