epoch,step,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,734,1.8264588808047024,0.6897770736246824,32.44443291520347,0.4850470543217167,0.5641842562901346,0.8763469579118659,1.7725839975391655,0.18307545215184584,1
1,1468,0.29933513660359445,0.9362085244060218,1.3565665176100385,0.1282123279102138,0.35095949274928945,0.902219885117616,1.424888034761716,0.10174517220864476,2
2,2202,0.18304923488390543,0.9499052369606492,1.2021263064118743,0.07826857571660369,0.28129077545906367,0.9131220531102991,1.3278150227082741,0.07950723413922443,3
3,2936,0.14968979606349073,0.9533929533987574,1.1622532564921149,0.061495464286625744,0.25707113703614787,0.913615118273258,1.2952552643973991,0.07473855894733072,4
4,3670,0.13086047525992187,0.9566599903697447,1.1402463304355623,0.0540876413894236,0.22489071794246374,0.9193693879562771,1.2535405682729561,0.07469253118132171,5
5,4404,0.11224838813680557,0.9610707018270307,1.1191777930882403,0.04678770011111778,0.1813204123785621,0.9361913209290215,1.199998184611279,0.06361552763530925,6
6,5138,0.08221163736194453,0.9739305729353708,1.0860332379983069,0.04070316938190931,0.09862484724113815,0.9702127751245081,1.1044713366387697,0.035360367591080466,7
